s,l,,,,,,
S01A,180,36,36,,184,,
S01B,125,25,61,,210,,
S02A,285,57,118,,179,,
S02B,105,21,139,,167,,
S03A,135,27,166,,,,
S03B,175,35,201,,,,
S04A,50,10,211,,,,
S04B,20,4,215,,,,
S04C,290,58,273,,,,
S05A,100,20,293,,,,
S06A,60,12,305,,,,
S06B,110,22,327,,,,
S07A,25,5,332,,,,
S08A,90,18,350,,,,
S09A,160,32,382,,,,
S10A,25,5,387,,,,
S11A,60,12,399,,,,
S12A,125,25,424,,,,131
S12B,315,63,487,,,,
S13A,100,20,507,,,,
S14A,20,4,511,,,,
S15A,350,70,581,,,,
S15B,25,5,586,,,,
S15C,15,3,589,,,,
S16A,250,50,639,,,,
S17A,60,12,651,,,,
S18A,25,5,656,,,,
S19A,165,33,689,,,,
S20A,30,6,695,,,,
S21A,60,12,707,,,,
S22A,35,7,714,,,,
S23A,55,11,725,,,,
S24A,75,15,740,,,,
