"","names","date","Q","percs","areas","lengs","ratio","modes","means","muuus","siggs","inter","peaks","kdmod","lgmod","kdpek","lgpek","kstat","kspvl","hltag","seeps","numbs","drain","aspec"
"w00","w00",2015-09-27,0.000195544305579474,79,730.7834,1305,0.35558583106267,26.8772727272727,55.9987279693487,3.70702430990374,43.7499310055582,52.07,35.0163952802795,22.5997747583709,19,33.3784405279182,42.9276571653863,0.0756119418352899,0.101130584008591,1,2.67581756207754e-07,261,0,2330.41007773302
"w01","w01",2015-10-27,0.0557910357716197,37,518.922,800,0.216216216216216,37.8272727272727,64.86525,3.91141881829127,47.2705464235647,55.88,22.0347222027574,34.7379253756454,29,21.3051911797222,22.547157035092,0.0415254936126788,0.945457334226762,1,0.000107513336824455,160,1.652892562,1233.32601046015
"w02","w02",2015-11-09,0.410104189141225,98,2044.09675,2705,0.739071038251366,31.8545454545455,75.5673475046211,4.02687862916466,53.6614478528506,74.676,51.7074426398792,31.4237553070863,27,48.7786095356927,64.7389798781929,0.0743024154136188,0.00509033627390487,2,0.000200628560825815,541,5.588842975,3579.58839277055
"w03","w03",2015-11-19,0.952674108980924,99,3429.93345,3155,0.858503401360544,70.6772727272727,108.714213946117,4.44990254932049,79.9205189261332,83.82,46.531607446174,73.593775551426,50,46.9313792590089,52.4949287161011,0.0621746087637368,0.015216971739038,2,0.000277752942693662,631,6.518595041,2902.10441255063
"w04","w04",2015-11-20,0.202728773674881,91,1946.61155,2635,0.717983651226158,40.8136363636364,73.8752011385199,4.0645791006505,52.1742339553748,58.42,57.6755020325397,43.2579242794103,35,54.89479907479,65.0273667261043,0.0459034527762003,0.216742970073669,2,0.000104144442004817,527,5.444214876,3566.82616005232
"w05","w05",2015-12-09,0.108141782316111,47,1207.2874,1840,0.500680272108844,35.8363636363636,65.6134456521739,3.93702890649738,43.7101418560505,53.34,43.6449603861009,34.2259488590114,29,41.6701138040144,50.3023665854912,0.0633532193143816,0.104243428128329,1,8.95741828466951e-05,368,3.801652893,2804.30326697686
"w06","w06",2016-01-28,0.215614324256406,89,2622.26806,2935,0.794316644113667,47.7818181818182,89.3447379897785,4.26471773148987,64.9785964862527,73.66,59.133158677724,48.1669271304726,44,57.8103839640607,60.311010647934,0.0451617499133626,0.18230331988574,2,8.22243642995086e-05,587,6.064049587,3285.02838111829
"w07","w07",2016-02-02,0.11399114516529,68,1991.09965,2570,0.694594594594595,43.8,77.4746945525292,4.14822963760795,49.6845767561397,63.5,59.7895286682516,41.2843352211874,41,57.7360915250383,61.1839355543739,0.044686225935462,0.256214154768566,1,5.72503466440217e-05,514,5.309917355,3317.2121746895
"w08","w08",2016-02-14,0.065192606822344,57,1321.22164,2140,0.578378378378378,40.8136363636364,61.7393289719626,3.91542340176944,38.1860103990156,50.8,54.1674617103639,35.9090372590677,31,53.6720728364927,62.6054958768595,0.0617627289312981,0.0763646194527591,1,4.93426726058953e-05,428,4.421487603,3466.18603673491
"w09","w09",2016-02-16,0.418713831189815,98,3025.4067,3200,0.868385345997286,47.7818181818182,94.543959375,4.32610377255101,65.9791202073177,78.74,55.9539639353732,49.6154149164671,47,56.0498437395087,61.839705764861,0.0487458494959924,0.0955176880359264,2,0.000138399188178507,640,6.611570248,3384.6689107947
"w10","w10",2016-02-23,0.674043151099248,92,3456.07005,3465,0.937753721244926,51.7636363636364,99.7422813852814,4.36762244587994,74.3860126762038,78.74,63.5561927014476,52.8423442976522,48,62.3472188706675,63.4246070419582,0.0329906271772244,0.437696490507127,2,0.000195031680882524,693,7.159090909,3473.95302360842
"w11","w11",2016-03-04,0.103608799968613,69,1991.6521,2655,0.721467391304348,42.8045454545455,75.0151450094162,4.08029464801228,51.0571422162118,60.96,56.553571027425,38.0878931875028,34,55.7276584376688,63.624818727895,0.0611872890302717,0.0375206215123085,1,5.2021535271453e-05,531,5.48553719,3539.28529987742
"w12","w12",2016-03-04,0.106036410666595,69,2036.568825,2675,0.726902173913043,42.8045454545455,76.1334140186916,4.10717608610807,52.2004148813737,60.96,58.1055721018951,38.5377366317298,37,56.9289403418223,64.1817595732665,0.0501423054746798,0.135685744076251,1,5.2066205357236e-05,535,5.526859504,3513.56895586379
