drain_dens,start,end
1.652892562,10/27/2015 9:00,10/27/2015 16:00
5.588842975,11/9/2015 9:00,11/9/2015 16:00
6.518595041,11/19/2015 9:00,11/19/2015 16:00
5.444214876,11/20/2015 9:00,11/20/2015 16:00
3.801652893,12/9/2015 11:00,12/9/2015 15:00
6.064049587,1/28/2016 10:00,1/28/2016 14:00
5.309917355,2/2/2016 9:00,2/2/2016 14:00
4.421487603,2/14/2016 9:00,2/14/2016 14:00
6.611570248,2/16/2016 14:00,2/16/2016 18:45
7.159090909,2/23/2016 9:20,2/23/2016 12:50
5.48553719,3/4/2016 6:45,3/4/2016 7:45
5.526859504,3/4/2016 8:45,3/4/2016 9:45
